year,subcategory,total,pos,pos_rate,wohlers_pct,diff_pct
2012,Academic Institutions,3226,1750,54.246745195288284,6.8,47.44674519528829
2012,Aerospace,989,630,63.70070778564207,10.2,53.500707785642064
2012,Architectural,2898,1785,61.59420289855072,3.9,57.69420289855072
2012,Consumer Products / Electronics,12797,7765,60.67828397280613,20.3,40.37828397280613
2012,Government / Military,2393,426,17.801922273297116,5.2,12.601922273297117
2012,Industrial / Business Machines,1597,843,52.78647463994991,13.4,39.38647463994991
2012,Medical / Dental,6194,4673,75.44397804326768,16.4,59.04397804326768
2012,Motor Vehicles / Automotive,1576,1046,66.37055837563452,18.6,47.770558375634515
2012,Other,10255,5104,49.77084349098001,3.6,46.17084349098001
2013,Academic Institutions,9034,5274,58.379455390746074,6.4,51.979455390746075
2013,Aerospace,3660,2579,70.46448087431693,12.3,58.164480874316936
2013,Architectural,6992,4257,60.88386727688787,3.8,57.08386727688787
2013,Consumer Products / Electronics,28633,17707,61.84123214472811,18.0,43.84123214472811
2013,Government / Military,10535,1540,14.61794019933555,5.4,9.21794019933555
2013,Industrial / Business Machines,3866,2072,53.59544749094671,18.5,35.09544749094671
2013,Medical / Dental,16901,13806,81.68747411395776,13.7,67.98747411395776
2013,Motor Vehicles / Automotive,3930,2667,67.86259541984732,17.3,50.56259541984733
2013,Other,25274,11258,44.543799952520374,4.5,40.043799952520374
2014,Academic Institutions,13464,8402,62.40344622697563,7.0,55.40344622697563
2014,Aerospace,5378,3668,68.20379323168464,10.0,58.20379323168464
2014,Architectural,12025,8218,68.34095634095634,4.0,64.34095634095634
2014,Consumer Products / Electronics,39882,25321,63.489794894940076,22.0,41.489794894940076
2014,Government / Military,6110,2397,39.23076923076923,6.0,33.23076923076923
2014,Industrial / Business Machines,5326,3064,57.52910251595944,14.0,43.52910251595944
2014,Medical / Dental,27053,22446,82.97046538276716,16.0,66.97046538276716
2014,Motor Vehicles / Automotive,7807,5419,69.41206609453054,18.0,51.412066094530545
2014,Other,26331,13240,50.28293646272455,4.0,46.28293646272455
2015,Academic Institutions,16909,11079,65.52132000709682,10.5,55.02132000709682
2015,Aerospace,5377,4055,75.413799516459,16.6,58.81379951645899
2015,Architectural,14512,10137,69.85253583241456,3.1,66.75253583241457
2015,Consumer Products / Electronics,41188,27923,67.794017675051,13.1,54.69401767505099
2015,Government / Military,5013,1985,39.597047676042294,5.9,33.697047676042295
2015,Industrial / Business Machines,8033,5010,62.367733100958546,19.9,42.46773310095855
2015,Medical / Dental,34734,29421,84.7037484885127,12.2,72.5037484885127
2015,Motor Vehicles / Automotive,10612,7648,72.06935544666415,13.8,58.26935544666415
2015,Other,30150,17006,56.40464344941957,4.9,51.50464344941957
2016,Academic Institutions,19864,13211,66.50724929520742,8.1,58.407249295207414
2016,Aerospace,5141,3543,68.91655319976658,18.2,50.71655319976658
2016,Architectural,11307,7641,67.57760679225258,3.0,64.57760679225258
2016,Consumer Products / Electronics,35981,23406,65.05099913843418,12.8,52.25099913843418
2016,Government / Military,5280,2145,40.625,6.2,34.425
2016,Industrial / Business Machines,7649,4561,59.62870963524644,18.8,40.82870963524644
2016,Medical / Dental,29201,23458,80.33286531283174,11.0,69.33286531283174
