Author ID,Total Engagement,Date,tweet_id,row_num,Normalized Text,langdetect_is_english,Year
@UofMPastPres,34,2018-09-27 16:21:29+00:00,@UofMPastPres_2018-09-27T16:21:29.000Z,3509801,ribbon cuttings are always good.  this one for a new metal  additive manufacturing  ( 3d printing ) facility in the college of engineering.  includes partnerships with several biomedical device companies.,True,2018
@Gizmodo,151,2018-09-24 22:20:23+00:00,@Gizmodo_2018-09-24T22:20:23.000Z,3529222,"a dog with cancer got a new,  3d-printed  titanium skull",True,2018
@kylegriffin1,524,2018-08-27 17:00:34+00:00,@kylegriffin1_2018-08-27T17:00:34.000Z,3178537,a federal judge has granted a preliminary injunction to a coalition of states seeking to block a texas-based company from posting online blueprints for how to make  3d-printed  guns.,True,2018
@Mr3DPrintWizard,32,2018-12-17 04:02:02+00:00,@Mr3DPrintWizard_2018-12-17T04:02:02.000Z,3607543,"yay!!!! just passed the 2,000 subscriber mark on my budding little youtube channel. thank you all who come and watch me fumble through  3d printing  goodness. stay tuned for more!   azvkadwgz9yrqonlgq ...",True,2018
@joeltelling,24,2018-09-26 15:48:03+00:00,@joeltelling_2018-09-26T15:48:03.000Z,3425837,this looks like  @adnarimnavi  likes cherry suckers and chews on the sticks when done. heh.,True,2018
@CUP_SciEng,1087,2019-05-01 19:11:00+00:00,@CUP_SciEng_2019-05-01T19:11:00.000Z,2558246,3d printed  micro-trusses could be the key to making high temperature ceramics less vulnerable to fracture. watch the new video abstract for the 2018  #jmr  paper of the year to find out more:   @materials_mrs #materials,True,2019
@EsuercVoltimand,21,2019-07-06 13:36:41+00:00,@EsuercVoltimand_2019-07-06T13:36:41.000Z,2682388,"*me, looking at a furby*

me: i could rip your skin off and put you in a  3d printed  skeleton.

furby: doo-aeh!

me: yeah, blue, doo-aeh.",True,2019
@Latinvixen,99,2019-01-06 05:48:41+00:00,@Latinvixen_2019-01-06T05:48:41.000Z,2644696,"disgusting behavior. please be aware this maker is scanning head based,  3d printing  them and calling them his own. please do not support this   /vixxens_/status/1077199845578940417 ...",True,2019
@info_PW,28,2019-12-13 06:12:17+00:00,@info_PW_2019-12-13T06:12:17.000Z,2715902,"保険担当さんがきて病状と請求確認と支払額の確認ほかをしていくんですな。
一応治療費は満額保険でおりるタイプのやつを契約してたので非常に助かっておりまする。入院や検査にかかる一切の経費も。

で「入院するさいに3d printerって必要だと思うんですよ?」

なぐられましたじゃすとなう",False,2019
@LadyGagaPopNet,200,2019-03-30 10:41:32+00:00,@LadyGagaPopNet_2019-03-30T10:41:32.000Z,2406270,"lady gaga was the first celebrity to wear a  3d printed  dress in the form of a jeff koons sculpture, proving once again that the artpop era was way ahead of our time.",True,2019
@Seoul_gov,25,2019-10-07 13:38:41+00:00,@Seoul_gov_2019-10-07T13:38:41.000Z,2511032,"maker faire seoul 2019 will be held at oil tank culture park on oct. 19-20, featuring a variety of projects designed by maker's own hands. you can meet lots of  inventions that combine technology and art, such as  3d printing  works, robotics and iot technology. #iseoulu #seoul",True,2019
@NatMus_SWE,159,2019-10-01 10:40:44+00:00,@NatMus_SWE_2019-10-01T10:40:44.000Z,2430429,sculptures from our collection was scanned by  @scan_the_world . you can download the scans for free and then print your own miniature with a  3d-printer :   museumswe ... #3dprinting,True,2019
@TMSreach,43,2019-08-23 07:18:34+00:00,@TMSreach_2019-08-23T07:18:34.000Z,2693424,"the ceo of  @versarien  caught up with  @copytaster  to discuss the latest developments...

...we hear about the  #vrs  july showcasing event which  @neillricketts  believes will both assist & boost infrastructure using a new “arch project”  3d printing  concept.  sarien-ceo-interview-3/ ...",True,2019
@GlytchTech,31,2019-10-01 17:14:02+00:00,@GlytchTech_2019-10-01T17:14:02.000Z,2557954,"...combine this with drones, and i could start a drone delivered  3d printed  pizza business that you pay for with bitcoin.
theres enough buzzwords in that sales pitch to be at least a multi millionaire on vc funding alone!",True,2019
