,Business-relevant,Technological,Use-case
Business-relevant,1.0,0.00019787097727894698,0.00012813280183086794
Technological,0.00019787097727894698,1.0,3.151086270960957e-06
Use-case,0.00012813280183086794,3.151086270960957e-06,1.0
